"JOURNEY_ID","JOURNEY_TYPE","GOLD_STATUS","ACTIVE_RUNTIME_SOURCE","RESOLVER_PATH","LOCATION_BINDING","NARRATIVE_DNA","SEMANTIC_FINGERPRINT","PROGRESS_KEY","REWARD_STAMP","LANGUAGES","ASSET_RIGHTS_EVIDENCE"
"xiamen-kulangsu","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:xiamen-kulangsu","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"pingyao-ancient-city","NORMAL","GOLD_CANDIDATE","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:pingyao-ancient-city","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"qufu-confucius-sites","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:qufu-confucius-sites","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"leshan-giant-buddha","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:leshan-giant-buddha","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"wuyishan-nine-bend-stream","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:wuyishan-nine-bend-stream","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"honghe-hani-rice-terraces","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:honghe-hani-rice-terraces","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"huangshan-cloud-peaks","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:huangshan-cloud-peaks","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"zhangjiajie-wulingyuan","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:zhangjiajie-wulingyuan","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"kaifeng-song-capital","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:kaifeng-song-capital","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"dali-cangshan-erhai","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:dali-cangshan-erhai","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"harbin-central-street","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:harbin-central-street","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"literary-roaming","SPECIAL","ACTIVE_NON_GOLD","specialJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:literary-roaming","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"myth-tracing","SPECIAL","ACTIVE_NON_GOLD","specialJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:myth-tracing","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"strange-night-talks","SPECIAL","ACTIVE_NON_GOLD","specialJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:strange-night-talks","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"folk-secret-land","SPECIAL","ACTIVE_NON_GOLD","specialJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:folk-secret-land","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"changan-last-bus","SPECIAL","ACTIVE_NON_GOLD","specialJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:changan-last-bus","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"tide-letter","SPECIAL","ACTIVE_NON_GOLD","specialJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:tide-letter","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"arcade-lost-property","SPECIAL","ACTIVE_NON_GOLD","specialJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:arcade-lost-property","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"tea-horse-echo","SPECIAL","ACTIVE_NON_GOLD","specialJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:tea-horse-echo","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"ice-city-star-map","SPECIAL","ACTIVE_NON_GOLD","specialJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:ice-city-star-map","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
